max,0,7128,16272,25584,34080
10A,8286,10467,13495,16530,1876
10B,5701,7886,8282,11370,695
10C,10063,12229,9627,2300,5115
10D,5292,8229,12346,16400,20166
10E,4486,1870,5996,10120,13891
41A,2420,1779,5421,9130,11683
42A,10983,12944,708,396,3091
43A,11956,14219,2990,8000,12478
44A,3237,1094,1121,3655,7147
41B,5914,1056,5248,3444,7028
42B,11251,13215,16005,18780,21538
43B,1633,3945,1237,4480,7588
44B,7506,2053,6082,1880,5500
41C,3138,1435,5066,2671,5961
42C,1997,3892,6622,9500,12228
43C,2373,4558,7715,11000,2840
44C,86,3000,3606,7450,10345
41D,6241,9719,14636,19600,23706
42D,5936,9260,13921,18600,22942
43D,6196,9834,14865,19800,24153
44D,6235,2276,3671,8155,12242
41E,6537,7764,0,3935,8137
42E,6431,1226,6100,10810,2950
43E,6558,10255,15441,0,4379
44E,6509,3086,0,4541,2391
80A,11737,13997,17280,19500,19291
80B,12032,1701,3610,6831,9926
80C,11940,14197,2250,5485,2231
80D,1991,4255,7567,10812,403
80E,60619,10229,15104,20182,24723
80F,1204,8343,13105,1845,6358
90A,14065,969,4403,7912,11225
90B,11973,14468,17906,21487,24815
90C,14060,16569,13523,13964,17289
90D,11931,1434,4912,8425,11688
90E,11809,14286,17737,21326,24621
90F,11250,13408,19971,26156,31788
90G,11250,13443,19903,26026,31308
90H,9713,13447,19762,25900,4042
140A,5816,8528,1716,5471,8904
140B,753,3409,1810,5533,1929
140C,9102,11775,15555,0,3461
140D,500,5000,10438,1610,294
